node_a,node_b,p_a_to_b,p_b_to_a,p_undirected,p_no_edge
asia,bronc,0.0,0.0,0.0,1.0
asia,dysp,0.0,0.0,0.0,1.0
asia,either,0.0,0.0,0.0,1.0
asia,lung,0.0,0.0,0.0,1.0
asia,smoke,0.0,0.04,0.0,0.96
asia,tub,0.2,0.24,0.0,0.56
asia,xray,0.0,0.04,0.0,0.96
bronc,dysp,0.88,0.12,0.0,0.0
bronc,either,0.0,0.12,0.0,0.88
bronc,lung,0.04,0.0,0.0,0.96
bronc,smoke,0.56,0.44,0.0,0.0
bronc,tub,0.0,0.0,0.0,1.0
bronc,xray,0.0,0.0,0.0,1.0
dysp,either,0.0,0.76,0.0,0.24
dysp,lung,0.04,0.2,0.0,0.76
dysp,smoke,0.0,0.0,0.0,1.0
dysp,tub,0.0,0.24,0.0,0.76
dysp,xray,0.0,0.0,0.0,1.0
either,lung,0.12,0.88,0.0,0.0
either,smoke,0.0,0.0,0.0,1.0
either,tub,0.12,0.88,0.0,0.0
either,xray,0.96,0.04,0.0,0.0
lung,smoke,0.52,0.48,0.0,0.0
lung,tub,0.08,0.04,0.0,0.88
lung,xray,0.0,0.0,0.0,1.0
smoke,tub,0.0,0.0,0.0,1.0
smoke,xray,0.0,0.0,0.0,1.0
tub,xray,0.0,0.0,0.0,1.0
